"file","pointCount","xMin","xMax","yMin","yMax","zMin","zMax"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","-400.000000000003","399.999999999997","-1115","-1115","0","728.731864445904"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","-400.000000000003","399.999999999997","-1115","-1115","1649.63298351713","2300"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","-400.000000000003","399.999999999997","-1115","-1115","728.731864445905","1649.63298351713"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","245.68833137777","272.034753630708","-1144.47161220333","-1144.47161220333","323.692545343571","486.388260276984"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","237.105721633721","282.105721633721","-1137.21802657794","-1137.21802657794","1884.07165090848","2084.07165090848"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","232.105721633721","287.105721633721","-1137.21802657794","-1137.21802657794","1872.73642301261","2092.73642301261"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","245.688331377775","272.034753630713","-1144.47161220333","-1144.47161220333","1903.69254534357","2066.38826027699"
"0308f99b-0617-4a7c-ad05-8813e3cfed21.mod","4","245.688331377772","272.034753630711","-1144.47161220333","-1144.47161220333","1183.69254534357","1346.38826027698"
"032cb133-5af8-4f33-8ffe-160c91283d65.mod","4","-275","275","-110","110","0","0"
"032d2221-e524-4b68-8a6f-1ecc806c60ef.mod","10","-40","40","-40","40","0","0"
"034dcfba-4c4d-4f07-8579-b8cbe3e8da2c.mod","10","-40","40","-40","40","0","0"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","302.105721633723","347.105721633723","357.218026577935","357.218026577935","304.071650908494","504.071650908495"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","297.105721633723","352.105721633723","357.218026577935","357.218026577936","292.736423012624","512.736423012623"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","297.105721633726","352.105721633726","357.218026577935","357.218026577936","1152.73642301262","1372.73642301262"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","-399.999999999989","400.00000000001","334.999999999996","335.000000000002","1649.63298351714","2300"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","310.68833137778","337.034753630718","364.471612203325","364.471612203325","1183.69254534358","1346.38826027699"
